waktu_id,tahun,bulan,kategori,total_penumpang,jumlah_rute_aktif
202001,2020,1,DOMESTIK,6832548,365
202001,2020,1,INTERNASIONAL,3275634,141
202002,2020,2,DOMESTIK,6274742,360
202002,2020,2,INTERNASIONAL,2308921,125
202003,2020,3,DOMESTIK,5036940,368
202003,2020,3,INTERNASIONAL,1018716,103
202004,2020,4,DOMESTIK,964783,277
202004,2020,4,INTERNASIONAL,47053,23
202005,2020,5,DOMESTIK,72856,80
202005,2020,5,INTERNASIONAL,25524,23
202006,2020,6,DOMESTIK,719239,188
202006,2020,6,INTERNASIONAL,38185,26
202007,2020,7,DOMESTIK,1681724,223
202007,2020,7,INTERNASIONAL,62811,30
202008,2020,8,DOMESTIK,2329377,249
202008,2020,8,INTERNASIONAL,63139,33
202009,2020,9,DOMESTIK,2104073,251
202009,2020,9,INTERNASIONAL,59226,36
202010,2020,10,DOMESTIK,2460535,229
202010,2020,10,INTERNASIONAL,81601,33
202011,2020,11,DOMESTIK,3225349,247
202011,2020,11,INTERNASIONAL,90416,29
202012,2020,12,DOMESTIK,3692069,251
202012,2020,12,INTERNASIONAL,116213,31
202101,2021,1,DOMESTIK,2570979,263
202101,2021,1,INTERNASIONAL,93297,33
202102,2021,2,DOMESTIK,2118600,233
202102,2021,2,INTERNASIONAL,73959,33
202103,2021,3,DOMESTIK,2889002,251
202103,2021,3,INTERNASIONAL,98447,32
202104,2021,4,DOMESTIK,3159052,255
202104,2021,4,INTERNASIONAL,120983,31
202105,2021,5,DOMESTIK,2722501,247
202105,2021,5,INTERNASIONAL,105203,33
202106,2021,6,DOMESTIK,3936927,254
202106,2021,6,INTERNASIONAL,111395,33
202107,2021,7,DOMESTIK,1117086,236
202107,2021,7,INTERNASIONAL,89371,29
202108,2021,8,DOMESTIK,1255644,167
202108,2021,8,INTERNASIONAL,85137,27
202109,2021,9,DOMESTIK,2076190,200
202109,2021,9,INTERNASIONAL,98409,25
202110,2021,10,DOMESTIK,3215249,220
202110,2021,10,INTERNASIONAL,117441,23
202111,2021,11,DOMESTIK,3901493,239
202111,2021,11,INTERNASIONAL,155372,22
202112,2021,12,DOMESTIK,4373916,244
202112,2021,12,INTERNASIONAL,213741,26
202201,2022,1,DOMESTIK,3623317,256
202201,2022,1,INTERNASIONAL,137925,26
202202,2022,2,DOMESTIK,2967111,233
202202,2022,2,INTERNASIONAL,163987,27
202203,2022,3,DOMESTIK,3717344,224
202203,2022,3,INTERNASIONAL,301029,38
202204,2022,4,DOMESTIK,3816988,229
202204,2022,4,INTERNASIONAL,485275,44
202205,2022,5,DOMESTIK,5283254,229
202205,2022,5,INTERNASIONAL,830956,56
202206,2022,6,DOMESTIK,4563384,228
202206,2022,6,INTERNASIONAL,945002,60
202207,2022,7,DOMESTIK,4844922,228
202207,2022,7,INTERNASIONAL,1009529,62
202208,2022,8,DOMESTIK,3730203,220
202208,2022,8,INTERNASIONAL,1360445,65
202209,2022,9,DOMESTIK,3480211,224
202209,2022,9,INTERNASIONAL,1271446,68
202210,2022,10,DOMESTIK,4192772,237
202210,2022,10,INTERNASIONAL,1494388,76
202211,2022,11,DOMESTIK,4297071,236
202211,2022,11,INTERNASIONAL,1209351,78
202212,2022,12,DOMESTIK,4979376,238
202212,2022,12,INTERNASIONAL,1809089,81
202301,2023,1,DOMESTIK,5127957,236
202301,2023,1,INTERNASIONAL,1992455,80
202302,2023,2,DOMESTIK,4628884,233
202302,2023,2,INTERNASIONAL,1908707,80
202303,2023,3,DOMESTIK,5028177,233
202303,2023,3,INTERNASIONAL,2117303,88
202304,2023,4,DOMESTIK,5257706,235
202304,2023,4,INTERNASIONAL,2133974,91
202305,2023,5,DOMESTIK,6044943,241
202305,2023,5,INTERNASIONAL,2368612,92
202306,2023,6,DOMESTIK,5789813,238
202306,2023,6,INTERNASIONAL,2445071,94
202307,2023,7,DOMESTIK,6311680,241
202307,2023,7,INTERNASIONAL,2748651,97
202308,2023,8,DOMESTIK,5536238,235
202308,2023,8,INTERNASIONAL,2705297,99
202309,2023,9,DOMESTIK,5278078,235
202309,2023,9,INTERNASIONAL,2645966,96
202310,2023,10,DOMESTIK,5610987,238
202310,2023,10,INTERNASIONAL,2693050,98
202311,2023,11,DOMESTIK,5487691,235
202311,2023,11,INTERNASIONAL,2508812,97
202312,2023,12,DOMESTIK,5823770,235
202312,2023,12,INTERNASIONAL,2786633,101
202401,2024,1,DOMESTIK,5061034,314
202401,2024,1,INTERNASIONAL,2848223,133
202402,2024,2,DOMESTIK,4704549,314
202402,2024,2,INTERNASIONAL,2669496,133
202403,2024,3,DOMESTIK,4710338,314
202403,2024,3,INTERNASIONAL,2627842,133
202404,2024,4,DOMESTIK,6009327,314
202404,2024,4,INTERNASIONAL,2931428,133
202405,2024,5,DOMESTIK,5443058,314
202405,2024,5,INTERNASIONAL,2924483,133
202406,2024,6,DOMESTIK,5614548,314
202406,2024,6,INTERNASIONAL,2998808,133
202407,2024,7,DOMESTIK,6176659,314
202407,2024,7,INTERNASIONAL,3261441,132
202408,2024,8,DOMESTIK,5775492,314
202408,2024,8,INTERNASIONAL,3282588,133
202409,2024,9,DOMESTIK,5677459,314
202409,2024,9,INTERNASIONAL,3186247,133
202410,2024,10,DOMESTIK,5535650,314
202410,2024,10,INTERNASIONAL,3125110,133
202411,2024,11,DOMESTIK,5082334,314
202411,2024,11,INTERNASIONAL,2962956,132
202412,2024,12,DOMESTIK,6005147,314
202412,2024,12,INTERNASIONAL,3346301,133
