maskapai_id,nama_maskapai,nama_pendek
ASI_PUJIASTUTI_AVIATION,PT Asi Pujiastuti Aviation,Asi Pujiastuti Aviation
BATIK_AIR_INDONESIA,PT Batik Air Indonesia,Batik Air Indonesia
BBN_AIRLINES_INDONESIA,PT BBN Airlines Indonesia,BBN Airlines Indonesia
CARDIG_AIR,PT Cardig Air,Cardig Air
CITILINK_INDONESIA,PT Citilink Indonesia,Citilink Indonesia
GARUDA_INDONESIA,PT Garuda Indonesia,Garuda Indonesia
INDONESIA_AIRASIA,PT Indonesia AirAsia,Indonesia AirAsia
LION_MENTARI_AIRLINES,PT Lion Mentari Airlines,Lion Mentari Airlines
MY_INDO_AIRLINES,PT My Indo Airlines,My Indo Airlines
NAM_AIR,PT Nam Air,Nam Air
PELITA_AIR_SERVICE,PT Pelita Air Service,Pelita Air Service
RUSKY_AERO_INTERNATIONAL,PT Rusky Aero International,Rusky Aero International
SRIWIJAYA_AIR,PT Sriwijaya Air,Sriwijaya Air
SUPER_AIR_JET,PT Super Air Jet,Super Air Jet
TRANSNUSA_AVIATION_MANDIRI,PT Transnusa Aviation Mandiri,Transnusa Aviation Mandiri
TRAVEL_EXPRESS_AVIATION_SERVICE,PT Travel Express Aviation Service,Travel Express Aviation Service
TRIGANA_AIR_SERVICE,PT Trigana Air Service,Trigana Air Service
TRI_MG_AIRLINES,PT Tri MG Airlines,Tri MG Airlines
WINGS_ABADI_AIRLINES,PT Wings Abadi Airlines,Wings Abadi Airlines
