maskapai_id,tahun,otp_persen
ASI_PUJIASTUTI_AVIATION,2020,28.9
ASI_PUJIASTUTI_AVIATION,2021,35.32
ASI_PUJIASTUTI_AVIATION,2022,39.92
ASI_PUJIASTUTI_AVIATION,2023,56.77
ASI_PUJIASTUTI_AVIATION,2024,47.03
BATIK_AIR_INDONESIA,2020,87.32
BATIK_AIR_INDONESIA,2021,84.75
BATIK_AIR_INDONESIA,2022,82.03
BATIK_AIR_INDONESIA,2023,74.89
BATIK_AIR_INDONESIA,2024,74.62
CITILINK_INDONESIA,2020,90.73
CITILINK_INDONESIA,2021,65.9
CITILINK_INDONESIA,2022,69.69
CITILINK_INDONESIA,2023,86.12
CITILINK_INDONESIA,2024,91.27
GARUDA_INDONESIA,2020,94.11
GARUDA_INDONESIA,2021,92.8
GARUDA_INDONESIA,2022,88.08
GARUDA_INDONESIA,2023,87.78
GARUDA_INDONESIA,2024,83.47
INDONESIA_AIRASIA,2020,84.95
INDONESIA_AIRASIA,2021,75.34
INDONESIA_AIRASIA,2022,64.89
INDONESIA_AIRASIA,2023,65.71
INDONESIA_AIRASIA,2024,91.07
LION_MENTARI_AIRLINES,2020,74.73
LION_MENTARI_AIRLINES,2021,75.48
LION_MENTARI_AIRLINES,2022,75.53
LION_MENTARI_AIRLINES,2023,65.43
LION_MENTARI_AIRLINES,2024,68.71
NAM_AIR,2020,83.74
NAM_AIR,2021,77.74
NAM_AIR,2022,69.85
NAM_AIR,2023,72.11
NAM_AIR,2024,74.61
SRIWIJAYA_AIR,2020,83.23
SRIWIJAYA_AIR,2021,72.38
SRIWIJAYA_AIR,2022,74.27
SRIWIJAYA_AIR,2023,79.67
SRIWIJAYA_AIR,2024,84.01
TRANSNUSA_AVIATION_MANDIRI,2020,77.94
TRANSNUSA_AVIATION_MANDIRI,2022,47.58
TRANSNUSA_AVIATION_MANDIRI,2023,50.48
TRANSNUSA_AVIATION_MANDIRI,2024,67.43
TRIGANA_AIR_SERVICE,2020,50.67
TRIGANA_AIR_SERVICE,2021,45.63
TRIGANA_AIR_SERVICE,2022,46.34
TRIGANA_AIR_SERVICE,2023,72.57
TRIGANA_AIR_SERVICE,2024,86.36
WINGS_ABADI_AIRLINES,2020,71.29
WINGS_ABADI_AIRLINES,2021,73.76
WINGS_ABADI_AIRLINES,2022,76.05
WINGS_ABADI_AIRLINES,2023,68.15
WINGS_ABADI_AIRLINES,2024,72.74
SUPER_AIR_JET,2021,84.18
SUPER_AIR_JET,2022,80.08
SUPER_AIR_JET,2023,71.02
SUPER_AIR_JET,2024,63.22
PELITA_AIR_SERVICE,2022,95.59
PELITA_AIR_SERVICE,2023,90.3
PELITA_AIR_SERVICE,2024,94.33
BBN_AIRLINES_INDONESIA,2024,90.14
